job_title,company,location,tags,exp,search_query
Python Developer,Confidential -,"Cairo, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Python Developer
AI Developer (Python) - midlevel,Afaqy -,"Maadi, Cairo, Egypt","['Full Time', 'Hybrid']",· 3 - 6 Yrs of Exp,Python Developer
Middle FullStack (Python) Developer,Vertex Technologies -,"Cairo, Egypt","['Full Time', 'On-site']",· 3+ Yrs of Exp,Python Developer
Python Back End developer,Prometeon tyres group – Egypt -,"Alexandria, Egypt","['Full Time', 'On-site']",· 0 - 4 Yrs of Exp,Python Developer
Business Intelligence Engineer - SQL / PYTHON,RISEUP (Endemag for Administrative Skills Development) -,"Maadi, Cairo, Egypt","['Full Time', 'Hybrid']",· 5+ Yrs of Exp,Python Developer
Full Stack Developer,IMBoX -,"New Cairo, Cairo, Egypt","['Part Time', 'Freelance / Project', 'Hybrid']",· 3 - 7 Yrs of Exp,Python Developer
Odoo Developer,Anecdote agency -,"New Cairo, Cairo, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Python Developer
Junior Full Stack AI Native Developer-Remote,GNC Management Services -,"Cairo, Egypt","['Full Time', 'Remote']",· 1 - 2 Yrs of Exp,Python Developer
BIM Developer,ADC-Architecture&Design Consultants -,"Sheikh Zayed, Giza, Egypt","['Full Time', 'On-site']",· 5 - 7 Yrs of Exp,Python Developer
Mid level Django Backend Developer,Software House Solution -,"Heliopolis, Cairo, Egypt","['Full Time', 'On-site']",· 2 - 7 Yrs of Exp,Python Developer
Junior Full Stack AI Native Developer,GNC Management Services -,"Laventille, Trinidad & Tobago","['Full Time', 'Remote']",· 1 - 2 Yrs of Exp,Python Developer
Odoo Developer (Mid-Level),ecoSAS International -,"Giza, Egypt","['Full Time', 'On-site']",· 3+ Yrs of Exp,Python Developer
Senior Python Developer,Advanced control -,"6th of October, Giza, Egypt","['Full Time', 'On-site']",· 5+ Yrs of Exp,Python Developer
AI Engineer,Confidential -,"Sheraton, Cairo, Egypt","['Full Time', 'Part Time', 'Freelance / Project', 'Hybrid']",· 2 - 3 Yrs of Exp,Python Developer
Software Engineer (Technical Content),"CC Global Group, LLC -","New Cairo, Cairo, Egypt","['Full Time', 'Remote']",No Exp,Python Developer
Python Developer,Confidential -,"Cairo, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Python Developer
AI Developer (Python) - midlevel,Afaqy -,"Maadi, Cairo, Egypt","['Full Time', 'Hybrid']",· 3 - 6 Yrs of Exp,Python Developer
Middle FullStack (Python) Developer,Vertex Technologies -,"Cairo, Egypt","['Full Time', 'On-site']",· 3+ Yrs of Exp,Python Developer
Python Back End developer,Prometeon tyres group – Egypt -,"Alexandria, Egypt","['Full Time', 'On-site']",· 0 - 4 Yrs of Exp,Python Developer
Business Intelligence Engineer - SQL / PYTHON,RISEUP (Endemag for Administrative Skills Development) -,"Maadi, Cairo, Egypt","['Full Time', 'Hybrid']",· 5+ Yrs of Exp,Python Developer
Full Stack Developer,IMBoX -,"New Cairo, Cairo, Egypt","['Part Time', 'Freelance / Project', 'Hybrid']",· 3 - 7 Yrs of Exp,Python Developer
Odoo Developer,Anecdote agency -,"New Cairo, Cairo, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Python Developer
Junior Full Stack AI Native Developer-Remote,GNC Management Services -,"Cairo, Egypt","['Full Time', 'Remote']",· 1 - 2 Yrs of Exp,Python Developer
BIM Developer,ADC-Architecture&Design Consultants -,"Sheikh Zayed, Giza, Egypt","['Full Time', 'On-site']",· 5 - 7 Yrs of Exp,Python Developer
Mid level Django Backend Developer,Software House Solution -,"Heliopolis, Cairo, Egypt","['Full Time', 'On-site']",· 2 - 7 Yrs of Exp,Python Developer
Junior Full Stack AI Native Developer,GNC Management Services -,"Laventille, Trinidad & Tobago","['Full Time', 'Remote']",· 1 - 2 Yrs of Exp,Python Developer
Odoo Developer (Mid-Level),ecoSAS International -,"Giza, Egypt","['Full Time', 'On-site']",· 3+ Yrs of Exp,Python Developer
Senior Python Developer,Advanced control -,"6th of October, Giza, Egypt","['Full Time', 'On-site']",· 5+ Yrs of Exp,Python Developer
AI Engineer,Confidential -,"Sheraton, Cairo, Egypt","['Full Time', 'Part Time', 'Freelance / Project', 'Hybrid']",· 2 - 3 Yrs of Exp,Python Developer
Software Engineer (Technical Content),"CC Global Group, LLC -","New Cairo, Cairo, Egypt","['Full Time', 'Remote']",No Exp,Python Developer
Senior Data Engineer,GB Corp -,"Giza, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Data Engineer
Middle Data Engineer,Vertex Technologies -,"Cairo, Egypt","['Full Time', 'On-site']",· 2+ Yrs of Exp,Data Engineer
Senior Data Engineer,Vertex Technologies -,"Cairo, Egypt","['Full Time', 'On-site']",· 4+ Yrs of Exp,Data Engineer
Data Engineer,Hyundai Rotem -,"Cairo, Egypt","['Full Time', 'On-site']",· 1 - 3 Yrs of Exp,Data Engineer
"Data Center Engineer (Compute, Storage & Data Protection)",Confidential -,"New Capital, Cairo, Egypt","['Full Time', 'On-site']",· 6 - 10 Yrs of Exp,Data Engineer
Infrastructure Network Operations Engineer (Data Center & WAN),Confidential -,"New Capital, Cairo, Egypt","['Full Time', 'On-site']",· 7 - 10 Yrs of Exp,Data Engineer
Planning Engineer,green river for urban development -,"New Capital, Cairo, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Data Engineer
Business Intelligence Engineer - SQL / PYTHON,RISEUP (Endemag for Administrative Skills Development) -,"Maadi, Cairo, Egypt","['Full Time', 'Hybrid']",· 5+ Yrs of Exp,Data Engineer
QS Engineer,Concrete Plus -,"Cairo, Egypt","['Full Time', 'On-site']",· 2 - 4 Yrs of Exp,Data Engineer
Senior Electrical Procurement Engineer,Concrete Plus -,"New Cairo, Cairo, Egypt","['Full Time', 'On-site']",· 5 - 7 Yrs of Exp,Data Engineer
Production Engineer,El Rashidi El Mizan -,"6th of October, Giza, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Data Engineer
Senior Storage and Backup Engineer,Anzemah -,"Giza, Egypt","['Full Time', 'On-site']",· 5 - 10 Yrs of Exp,Data Engineer
Senior Security Engineer / Security Team Lead,Anzemah -,"Giza, Egypt","['Full Time', 'On-site']",· 5 - 15 Yrs of Exp,Data Engineer
Senior Sales Engineer – Data Centers & Mission-Critical Infrastructure,Mobi Egypt -,"Maadi, Cairo, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Data Engineer
Cost Estimation Engineer (procurement),Aswaq -,"Shorouk City, Cairo, Egypt","['Full Time', 'On-site']",· 6 - 8 Yrs of Exp,Data Engineer
IT Engineer,Musandah FM -,"New Capital, Cairo, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Data Engineer
Traffic Engineer,Seero -,"Cairo, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Data Engineer
Senior Sales Engineer,Mobi Egypt -,"Maadi, Cairo, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Data Engineer
Production Engineer,El-Obour for Paper Production -,"Obour City, Cairo, Egypt","['Full Time', 'On-site']",· 3 - 5 Yrs of Exp,Data Engineer
AI Engineer,Confidential -,"Sheraton, Cairo, Egypt","['Full Time', 'Part Time', 'Freelance / Project', 'Hybrid']",· 2 - 3 Yrs of Exp,Data Engineer
Mechanical Production Engineer,iLock -,"Mit Ghamr, Dakahlia, Egypt","['Full Time', 'On-site']",· 1 - 7 Yrs of Exp,Data Engineer
Data Scientist And Machine learning Engineer - Applied AI & Knowledge Sharing,EpsilonAI -,"Nasr City, Cairo, Egypt","['Full Time', 'Hybrid']",· 0 - 3 Yrs of Exp,Data Engineer
Splunk Administrator Engineer,Digital cloud for Technology and cybersecurity -,"Cairo, Egypt","['Full Time', 'Hybrid']",· 2 - 7 Yrs of Exp,Data Engineer
AI & Data Science Engineer,Raya Distribution -,"Cairo, Egypt","['Full Time', 'On-site']",· 1+ Yrs of Exp,Data Engineer
Senior Structural Engineer,Main Marks -,"New Cairo, Cairo, Egypt","['Full Time', 'On-site']",· 8 - 10 Yrs of Exp,Data Engineer
Material Engineer (Control),Doosan Enerbility co .LTD -,"Dabaa, Matruh, Egypt","['Full Time', 'On-site']",· 0 - 7 Yrs of Exp,Data Engineer
Principal OR Engineer (Optimization & Decision Intelligence),Makkook.AI -,"Maadi, Cairo, Egypt","['Full Time', 'On-site']",· 7+ Yrs of Exp,Data Engineer
Tech Lead / Principal Engineer – Full‑Stack & AI Systems,Makkook.AI -,"Maadi, Cairo, Egypt","['Full Time', 'On-site']",· 8 - 20 Yrs of Exp,Data Engineer
Production Engineer - Sheet Metal Fabrication,Arcelormittal Egypt -,"Badr City, Cairo, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Data Engineer
Agricultural Engineer - Fruits & Vegetables,Global Zone Link -,"Maadi, Cairo, Egypt","['Full Time', 'Part Time', 'On-site']",· 2 - 4 Yrs of Exp,Data Engineer
Mechanical Maintenance Engineer (Plastic Pipes & Injection Machines),Al-Amal Al-sharif For Plastic -,"10th of Ramadan City, Cairo, Egypt","['Full Time', 'On-site']",· 2 - 5 Yrs of Exp,Data Engineer
